observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2022,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,235973985282903,INR,SecondRevisedEstimates,P1Y
2021,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,198299270533216,INR,SecondRevisedEstimates,P1Y
2020,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,200748557919962,INR,SecondRevisedEstimates,P1Y
2019,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,188869569075767,INR,SecondRevisedEstimates,P1Y
2018,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,170983040000000,INR,SecondRevisedEstimates,P1Y
2017,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,153623860142687,INR,SecondRevisedEstimates,P1Y
2016,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,137640372678826,INR,SecondRevisedEstimates,P1Y
2015,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,124337490443456,INR,SecondRevisedEstimates,P1Y
2014,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,112727640000000,INR,SecondRevisedEstimates,P1Y
2013,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,99513440000000,INR,SecondRevisedEstimates,P1Y
2012,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,87360390000000,INR,SecondRevisedEstimates,P1Y
2022,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,150218462664264,INR,SecondRevisedEstimates,P1Y
2021,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,136871181364924,INR,SecondRevisedEstimates,P1Y
2020,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,145159576577318,INR,SecondRevisedEstimates,P1Y
2019,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,140033162518518,INR,SecondRevisedEstimates,P1Y
2018,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,131751600000000,INR,SecondRevisedEstimates,P1Y
2017,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,122983268912385,INR,SecondRevisedEstimates,P1Y
2016,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,113861448881147,INR,SecondRevisedEstimates,P1Y
2015,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,105226856856851,INR,SecondRevisedEstimates,P1Y
2014,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,98394340000000,INR,SecondRevisedEstimates,P1Y
2013,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,92268790000000,INR,SecondRevisedEstimates,P1Y
2012,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,87360390000000,INR,SecondRevisedEstimates,P1Y
2022,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,2612933067024,USD,SecondRevisedEstimates,P1Y
2021,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,2195762047760,USD,SecondRevisedEstimates,P1Y
2020,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,2222882935666,USD,SecondRevisedEstimates,P1Y
2019,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,2091347238133,USD,SecondRevisedEstimates,P1Y
2018,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,1893290222567,USD,SecondRevisedEstimates,P1Y
2017,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,1701072529539,USD,SecondRevisedEstimates,P1Y
2016,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,1524087838322,USD,SecondRevisedEstimates,P1Y
2015,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,1376785410735,USD,SecondRevisedEstimates,P1Y
2014,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,1248229874875,USD,SecondRevisedEstimates,P1Y
2013,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,1101909423098,USD,SecondRevisedEstimates,P1Y
2012,country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal,967339054368,USD,SecondRevisedEstimates,P1Y
2022,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1663364662432,USD,SecondRevisedEstimates,P1Y
2021,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1515570605303,USD,SecondRevisedEstimates,P1Y
2020,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1607347764116,USD,SecondRevisedEstimates,P1Y
2019,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1550583130534,USD,SecondRevisedEstimates,P1Y
2018,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1458881629941,USD,SecondRevisedEstimates,P1Y
2017,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1361790155159,USD,SecondRevisedEstimates,P1Y
2016,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1260784507598,USD,SecondRevisedEstimates,P1Y
2015,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1165173921568,USD,SecondRevisedEstimates,P1Y
2014,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1089517661389,USD,SecondRevisedEstimates,P1Y
2013,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1021689624626,USD,SecondRevisedEstimates,P1Y
2012,country/IND,Amount_EconomicActivity_GrossDomesticProduction_RealValue,967339054368,USD,SecondRevisedEstimates,P1Y
