observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,54133557584637.87,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,24760324969799.227,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,5436764117591.23,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3391041147812.2593,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,41490541829187.97,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,29471855556553.23,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,7966923643183.299,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,4058399872122.2944,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,26092554870137.418,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,15619569761996.396,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,52633681395442.35,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,31854394211962.81,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_FinanceService,68837796078498.01,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_FinanceService,40896479663743.95,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,43557111096645.17,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,21746353310185.902,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded,300148930615323.3,INR,MOSPISecondAdvanceEstimates,P1Y
2025,country/IND,dcid:Amount_EconomicActivity_GrossValueAdded_RealValue,171798418494176.1,INR,MOSPISecondAdvanceEstimates,P1Y
