observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,54279080000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,25540712073820.363,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,5085540000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3365500691926.3286,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,45545800000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,31613639926032.12,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,8172650000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,4137020035949.098,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,27998470000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,16827923545064.754,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,56407410000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,34155524257778.26,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_FinanceService,76571550000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_FinanceService,44943413591676.45,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,49418230000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,23914548543242.504,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded,323478730000000,INR,MOSPIFirstAdvanceEstimates,P1Y
2026,country/IND,dcid:Amount_EconomicActivity_GrossValueAdded_RealValue,184498282665489.88,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,51995466015141.69,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,23917643915126.08,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,5395674890433.992,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3472713346616.1763,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,40707619133804.48,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,28981615522745.523,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,6823561562418.348,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,3997810315199.3286,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,25882570081456.7,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,15591602805394.486,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,50574746354304.414,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,31285340625885.742,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_FinanceService,66868817288410.51,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_FinanceService,39602324615123.086,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,44387631832746.55,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,22062899696545.395,INR,MOSPIFirstAdvanceEstimates,P1Y
