observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,53852908437902.02,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,24768049898025.33,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,5407875420772.103,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3388839829827.874,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,41694187126166.07,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,29536466699736.67,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,8069742620391.666,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,4052959384731.0312,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,26270090311166.34,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,15722853061300.732,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,52573960647933.46,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,31768298410804.156,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_FinanceService,68818660387653.52,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_FinanceService,40880715960606.195,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,43532902921930.68,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,21756278863990.53,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded,300220327873915.9,INR,MOSPIProvisionalEstimates,P1Y
2025,country/IND,dcid:Amount_EconomicActivity_GrossValueAdded_RealValue,171874462109022.5,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,47252229398582.54,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,23049816751755.906,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,5258810880896.433,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3376233960897.9995,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,38197485465179.625,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,27516803194149.008,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,6634580944415.194,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,3741743847304.818,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,23838767370205.758,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,14360809049734.678,INR,MOSPIProvisionalEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,46845420506990.1,INR,MOSPIProvisionalEstimates,P1Y
