observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2021,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,37064693900978.5,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,20742124041124.19,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3241400923481.2334,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,2910751580168.7188,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,28034947194844.914,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,23291601065762.043,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,5007795565619.13,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,2882131419960.7856,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,13595114703098.16,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,9953706443388.607,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrMaintenanceAndRepairOrRestaurantAndHotels,18454396861596.902,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrMaintenanceAndRepairOrRestaurantAndHotels,14384770142926.482,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TransportStorageSectorOrPublishingBroadcastingInformationActivities,10167154893115.816,INR,MOSPIThirdRevisedEstimates,P1Y
2021,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TransportStorageSectorOrPublishingBroadcastingInformationActivities,7154112430700.694,INR,MOSPIThirdRevisedEstimates,P1Y
