observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2011,78040,Count_Establishment_Factory_Rural,,
country/IND,2012,80961,Count_Establishment_Factory_Rural,,
country/IND,2013,85159,Count_Establishment_Factory_Rural,,
country/IND,2014,86323,Count_Establishment_Factory_Rural,,
country/IND,2015,90500,Count_Establishment_Factory_Rural,,
country/IND,2016,92080,Count_Establishment_Factory_Rural,,
country/IND,2017,95643,Count_Establishment_Factory_Rural,,
country/IND,2018,98177,Count_Establishment_Factory_Rural,,
country/IND,2019,100315,Count_Establishment_Factory_Rural,,
country/IND,2020,103286,Count_Establishment_Factory_Rural,,
country/IND,2021,106114,Count_Establishment_Factory_Rural,,
country/IND,2022,104998,Count_Establishment_Factory_Rural,,
country/IND,2023,108453,Count_Establishment_Factory_Rural,,
country/IND,2024,112826,Count_Establishment_Factory_Rural,,
country/IND,2011,93674913,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2012,108656996,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2013,131965329,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2014,146684880,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2015,152989696,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2016,180550242,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2017,204891886,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2018,213195534,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2019,217375044,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2020,227529318,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2021,234049445,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2022,229435096,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2023,249757811,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2024,280241775,Amount_EconomicActivity_Factory_FixedCapital_Rural,INR,
country/IND,2011,5338418,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2012,5718321,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2013,5603872,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2014,5863559,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2015,6118648,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2016,6277905,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2017,6588834,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2018,6982429,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2019,7283030,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2020,7298142,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2021,7320468,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2022,7698614,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2023,8335019,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2024,8815598,Count_Person_Factory_TotalEngaged_Rural,,
country/IND,2011,6677389,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2012,8103362,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2013,9175506,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2014,10673110,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2015,12257795,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2016,13959092,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2017,15589071,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2018,17323882,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2019,19187370,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2020,20327049,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2021,20905367,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2022,23838514,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2023,27618497,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2024,31099060,Amount_EconomicActivity_Factory_Emolument_Rural,INR,
country/IND,2011,175515098,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2012,224368580,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2013,229769492,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2014,267194867,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2015,280569491,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2016,270535488,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2017,285171551,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2018,327289986,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2019,384483691,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2020,373482521,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2021,366487289,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2022,506910609,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2023,621972735,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2024,652671576,Amount_EconomicActivity_Factory_Input_Rural,INR,
country/IND,2011,217406075,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2012,276582836,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2013,281646728,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2014,322859320,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2015,343352032,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2016,336513508,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2017,355519955,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2018,402845860,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2019,459892220,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2020,447816183,Amount_EconomicActivity_Factory_Output_Rural,INR,
country/IND,2021,450453961,Amount_EconomicActivity_Factory_Output_Rural,INR,
