observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,measurementMethod,MeasurementPeriod
wikidataId/Q1159,2024,2340,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2285,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2311,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1159,2024,2252,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1159,2024,2497,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2510,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2466,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1159,2024,2473,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1162,2024,2326,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1162,2024,2722,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1162,2024,2297,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1162,2024,2685,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1162,2024,2467,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1162,2024,2942,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1162,2024,2436,Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1162,2024,2902,Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIAdjusted,
