observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2026,country/IND,dcid:Count_Person_Urban,518181000,,dcs:dcAggregate/NITIIndiaProjection,
2026,country/IND,dcid:Count_Person_Urban_Female,249619000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q40888,dcid:Count_Person_Urban,188000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q40888,dcid:Count_Person_Urban_Female,88000,,NITIIndiaProjection,
2026,country/IND,dcid:Count_Person_Urban_Male,268562000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q40888,dcid:Count_Person_Urban_Male,100000,,NITIIndiaProjection,
2026,wikidataId/Q1159,dcid:Count_Person_Urban,20788000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1159,dcid:Count_Person_Urban_Female,10326000,,NITIIndiaProjection,
2026,wikidataId/Q1159,dcid:Count_Person_Urban_Male,10462000,,NITIIndiaProjection,
2026,wikidataId/Q1162,dcid:Count_Person_Urban,426000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1162,dcid:Count_Person_Urban_Female,201000,,NITIIndiaProjection,
2026,wikidataId/Q1162,dcid:Count_Person_Urban_Male,225000,,NITIIndiaProjection,
2026,wikidataId/Q1164,dcid:Count_Person_Urban,5902000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1164,dcid:Count_Person_Urban_Female,2869000,,NITIIndiaProjection,
2026,wikidataId/Q1164,dcid:Count_Person_Urban_Male,3033000,,NITIIndiaProjection,
2026,wikidataId/Q1165,dcid:Count_Person_Urban,16743000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1165,dcid:Count_Person_Urban_Female,7908000,,NITIIndiaProjection,
2026,wikidataId/Q1165,dcid:Count_Person_Urban_Male,8835000,,NITIIndiaProjection,
2026,wikidataId/Q120971341,dcid:Count_Person_Urban,1273000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q120971341,dcid:Count_Person_Urban_Female,574000,,NITIIndiaProjection,
2026,wikidataId/Q120971341,dcid:Count_Person_Urban_Male,699000,,NITIIndiaProjection,
2026,wikidataId/Q1168,dcid:Count_Person_Urban,8871000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1168,dcid:Count_Person_Urban_Female,4336000,,NITIIndiaProjection,
2026,wikidataId/Q1168,dcid:Count_Person_Urban_Male,4535000,,NITIIndiaProjection,
2026,wikidataId/Q1353,dcid:Count_Person_Urban,22737000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1353,dcid:Count_Person_Urban_Female,10565000,,NITIIndiaProjection,
2026,wikidataId/Q1353,dcid:Count_Person_Urban_Male,12172000,,NITIIndiaProjection,
